recipe_id,name,ingredients,prep_time,instructions,difficulty,category,servings,rating,times_cooked,last_cooked_date
24,Apple Pie,"Apple:500:g, Flour:250:g, Butter:120:g",70,Fill crust and bake.,Medium,Dessert,1,4,7,6/10/2026
25,Cheesecake,"Cream Cheese:400:g, Sugar:120:g, Egg:2:whole",80,Bake and chill.,Hard,Dessert,1,5,8,6/14/2026
26,Vanilla Ice Cream,"Milk:500:ml, Cream:250:ml, Sugar:120:g",240,Freeze after mixing.,Medium,Dessert,1,5,6,6/9/2026
27,Fruit Salad,"Apple:2:whole, Banana:2:whole, Orange:2:whole",10,Mix chopped fruit.,Easy,Dessert,1,4,11,6/13/2026
28,Banana Smoothie,"Banana:2:whole, Milk:300:ml, Honey:20:ml",5,Blend everything.,Easy,Breakfast,1,4,14,6/20/2026
29,Avocado Toast,"Bread:2:slices, Avocado:1:whole",8,Mash avocado and spread on toast.,Easy,Breakfast,1,4,9,6/15/2026
30,Chicken Nuggets,"Chicken Breast:300:g, Breadcrumbs:100:g, Egg:1:whole",25,Coat chicken and bake.,Medium,Lunch,1,3,10,6/17/2026
31,Tuna Sandwich,"Bread:4:slices, Tuna:150:g, Mayonnaise:30:g",10,Mix tuna and assemble.,Easy,Lunch,1,4,8,6/8/2026
32,Caesar Salad,"Lettuce:150:g, Chicken Breast:150:g, Parmesan:40:g",20,Mix all ingredients.,Easy,Lunch,1,5,7,6/6/2026
33,Chicken Pizza,"Pizza Dough:300:g, Chicken Breast:150:g, Cheese:120:g",45,Bake until cheese melts.,Medium,Dinner,1,5,6,6/16/2026
34,Pepperoni Pizza,"Pizza Dough:300:g, Pepperoni:120:g, Cheese:150:g",40,Bake until crispy.,Medium,Dinner,1,5,8,6/18/2026
35,Shrimp Pasta,"Pasta:250:g, Shrimp:200:g, Garlic:3:cloves",30,Cook pasta and shrimp.,Medium,Dinner,1,4,5,6/7/2026
36,Beef Tacos,"Tortilla:6:whole, Ground Beef:300:g, Cheese:80:g",25,Fill tortillas and serve.,Easy,Dinner,1,5,12,6/21/2026
37,Chicken Quesadilla,"Tortilla:2:whole, Chicken Breast:150:g, Cheese:100:g",20,Cook until cheese melts.,Easy,Lunch,1,4,11,6/14/2026
38,Garlic Bread,"Bread:1:loaf, Butter:60:g, Garlic:5:cloves",15,Bake until crispy.,Easy,Dinner,1,4,15,6/23/2026
39,Mashed Potatoes,"Potato:500:g, Butter:50:g, Milk:100:ml",30,Boil and mash potatoes.,Easy,Dinner,1,5,10,6/12/2026
40,Chicken Soup,"Chicken Breast:250:g, Carrot:100:g, Water:1200:ml",40,Simmer until cooked.,Easy,Dinner,1,5,9,6/11/2026
41,Blueberry Muffins,"Flour:250:g, Blueberries:150:g, Milk:150:ml",35,Bake until risen.,Easy,Dessert,1,5,6,6/8/2026
42,Cinnamon Rolls,"Flour:400:g, Cinnamon:15:g, Butter:80:g",90,Roll dough and bake.,Hard,Dessert,1,5,4,6/4/2026
43,Rice Pudding,"Rice:150:g, Milk:500:ml, Sugar:80:g",40,Cook until creamy.,Easy,Dessert,1,4,5,6/5/2026
44,Lemon Tart,"Flour:250:g, Lemon Juice:100:ml, Butter:100:g",60,Bake tart shell and fill.,Medium,Dessert,1,5,3,6/2/2026
45,Chicken Fried Rice,"Rice:300:g, Chicken Breast:200:g, Egg:2:whole",25,Stir fry together.,Easy,Dinner,1,4,13,6/18/2026
46,Turkey Sandwich,"Bread:4:slices, Turkey:150:g, Lettuce:30:g",10,Assemble ingredients.,Easy,Lunch,1,4,9,6/9/2026
47,Egg Fried Rice,"Rice:300:g, Egg:3:whole, Soy Sauce:20:ml",20,Cook rice with eggs.,Easy,Dinner,1,4,11,6/13/2026
48,Beef Chili,"Ground Beef:300:g, Beans:250:g, Tomato Sauce:300:ml",50,Simmer until thick.,Medium,Dinner,1,5,8,6/15/2026
49,Strawberry Milkshake,"Strawberries:200:g, Milk:300:ml, Ice Cream:100:g",5,Blend until smooth.,Easy,Dessert,1,5,12,6/22/2026
50,French Fries,"Potato:500:g, Oil:100:ml, Salt:2:tsp",25,Fry potatoes until crispy.,Easy,Lunch,1,5,20,6/24/2026
51,burger,"bread:1:whole, meat:500:g",6,cooke burger,Medium,Lunch,1,0,0,
52,curry,"chicken:1:whole, rice:500:g",4,cook the chicken,Medium,Lunch,1,0,0,
53,curry,"chicken:1:whole, rice:500:g",4,cook the chicken,Medium,Lunch,1,0,0,
54,curry,"chicken:2:whole, rice:200:g",5,cook chicken,Medium,Lunch,1,0,0,
55,french fries,potato:1:kg,5,cut it and fry it ,Easy,Lunch,1,0,0,
56,french fries,"potato:1:kg, salt:50:grams",4,fry the potatoes and add salt,Easy,Dinner,1,0,0,
57,French Fries,"potato:1:kg, salt:50:grams",5,"Cut potato, fry it , and put salt",Easy,Lunch,1,0,0,
58,Egg Fried Rice,"egg:2:whole, rice:500:g, salt:20:g",4,Cook the egg and rice perfectly in the woke,Medium,Lunch,1,3,0,
59,Sushi,"salmon:1:whole, rice::1kg",34,Cut salmon and put it in rice,Medium,Lunch,1,0,0,
60,curry,"chicken:1:whole,rice:500:g",8,cook chicken with rice,Medium,Lunch,1,0,0,
61,chicken sandwich ,"chicken:1:half, bread:1:whole",5,fry chicken and assemble eit with the bread,Medium,Dinner,1,0,0,
62,Vegetable Stir Fry,"Rice:200:g, Soy sauce:30:ml, Eggs:1:whole, Garlic:2:cloves, Onion:1:whole, Ginger:1:10g, Salt:1:pinch",7,"1. Cook rice according to package instructions. 2. Mince garlic and ginger. 3. Heat oil in a wok over high heat. 4. Scramble the egg, then set aside. 5. Stir-fry garlic, ginger, and onion for 2 minutes. 6. Add cooked rice and soy sauce, mix well. 7. Fold in the scrambled egg. 8. Season with salt and serve hot.",Medium,Lunch,1,0,0,
